"Time","어그부츠","UGG","어그 부츠","ugg","UGG boots"
"2010-12-01",51,0,50,26,0
"2011-01-01",34,0,33,20,2
"2011-02-01",7,0,5,13,0
"2011-03-01",0,0,0,8,0
"2011-04-01",0,0,0,0,0
"2011-05-01",0,0,0,0,0
"2011-06-01",0,0,0,0,0
"2011-07-01",0,0,0,3,0
"2011-08-01",0,0,0,4,0
"2011-09-01",2,0,0,8,2
"2011-10-01",8,0,8,10,3
"2011-11-01",100,0,99,15,3
"2011-12-01",18,0,19,22,3
"2012-01-01",15,0,14,10,1
"2012-02-01",8,0,8,5,0
"2012-03-01",2,0,2,2,0
"2012-04-01",0,0,1,0,0
"2012-05-01",1,0,0,2,0
"2012-06-01",0,0,0,2,0
"2012-07-01",0,0,0,2,0
"2012-08-01",0,0,0,3,2
"2012-09-01",2,0,2,4,0
"2012-10-01",2,0,2,7,1
"2012-11-01",11,0,11,18,2
"2012-12-01",19,0,18,22,3
"2013-01-01",6,0,7,12,1
"2013-02-01",2,0,2,8,0
"2013-03-01",1,0,1,2,0
"2013-04-01",0,0,1,2,0
"2013-05-01",0,0,0,2,0
"2013-06-01",0,0,0,2,0
"2013-07-01",0,0,1,2,0
"2013-08-01",0,0,0,1,0
"2013-09-01",0,0,0,4,0
"2013-10-01",1,0,1,7,2
"2013-11-01",7,0,7,19,2
"2013-12-01",8,0,8,17,2
"2014-01-01",4,0,4,7,1
"2014-02-01",1,0,2,3,0
"2014-03-01",1,0,1,1,0
"2014-04-01",0,0,1,1,0
"2014-05-01",0,0,0,0,0
"2014-06-01",0,0,0,1,0
"2014-07-01",0,0,0,2,0
"2014-08-01",0,0,0,2,0
"2014-09-01",1,0,1,3,0
"2014-10-01",1,0,2,6,1
"2014-11-01",2,0,3,14,2
"2014-12-01",8,0,7,17,2
"2015-01-01",2,0,2,5,1
"2015-02-01",1,0,0,3,0
"2015-03-01",0,0,0,1,0
"2015-04-01",0,0,0,1,0
"2015-05-01",0,0,0,1,0
"2015-06-01",0,0,0,0,0
"2015-07-01",0,0,0,1,0
"2015-08-01",0,0,0,2,0
"2015-09-01",0,0,0,2,0
"2015-10-01",0,0,1,4,1
"2015-11-01",3,0,3,10,2
"2015-12-01",3,0,4,9,1
"2016-01-01",1,0,2,4,1
"2016-02-01",0,0,1,2,0
"2016-03-01",1,0,1,1,0
"2016-04-01",0,0,1,1,0
"2016-05-01",0,0,1,1,0
"2016-06-01",0,0,0,1,0
"2016-07-01",0,0,0,1,0
"2016-08-01",0,0,1,1,0
"2016-09-01",0,0,1,2,0
"2016-10-01",1,0,1,4,1
"2016-11-01",2,0,3,12,2
"2016-12-01",2,0,2,8,1
"2017-01-01",1,0,1,4,1
"2017-02-01",0,0,0,2,1
"2017-03-01",0,0,0,1,0
"2017-04-01",0,0,0,1,0
"2017-05-01",0,0,0,1,0
"2017-06-01",0,0,1,0,0
"2017-07-01",0,0,0,1,0
"2017-08-01",0,0,0,1,0
"2017-09-01",0,0,0,1,0
"2017-10-01",1,0,1,3,1
"2017-11-01",2,0,4,9,1
"2017-12-01",2,0,3,10,2
"2018-01-01",2,0,3,4,0
"2018-02-01",1,0,1,2,0
"2018-03-01",0,0,1,1,0
"2018-04-01",0,0,0,1,0
"2018-05-01",0,0,0,1,0
"2018-06-01",0,0,0,1,0
"2018-07-01",0,0,1,1,0
"2018-08-01",0,0,1,1,0
"2018-09-01",0,0,1,2,0
"2018-10-01",1,0,1,4,0
"2018-11-01",1,0,3,7,1
"2018-12-01",2,0,4,7,1
"2019-01-01",1,0,1,3,0
"2019-02-01",0,0,1,2,0
"2019-03-01",0,0,0,2,0
"2019-04-01",0,0,1,1,0
"2019-05-01",0,0,0,1,0
"2019-06-01",0,0,0,1,0
"2019-07-01",0,0,0,1,0
"2019-08-01",0,0,0,1,0
"2019-09-01",0,0,0,2,0
"2019-10-01",0,0,1,3,1
"2019-11-01",1,0,1,6,1
"2019-12-01",2,0,2,6,1
"2020-01-01",1,0,1,3,0
"2020-02-01",0,0,1,1,0
"2020-03-01",0,0,1,1,0
"2020-04-01",0,0,0,1,0
"2020-05-01",0,0,0,1,0
"2020-06-01",0,0,0,1,0
"2020-07-01",0,0,0,1,0
"2020-08-01",0,0,0,1,0
"2020-09-01",0,0,1,2,0
"2020-10-01",1,0,1,4,1
"2020-11-01",1,0,2,7,1
"2020-12-01",3,0,4,9,0
"2021-01-01",2,0,2,5,0
"2021-02-01",0,0,1,2,0
"2021-03-01",0,0,1,2,0
"2021-04-01",0,0,1,2,1
"2021-05-01",0,0,0,2,0
"2021-06-01",0,0,1,2,0
"2021-07-01",0,0,0,2,0
"2021-08-01",0,0,0,2,0
"2021-09-01",0,0,0,3,1
"2021-10-01",1,0,1,6,1
"2021-11-01",2,0,2,9,1
"2021-12-01",3,0,4,11,1
"2022-01-01",2,0,3,6,0
"2022-02-01",1,0,1,3,0
"2022-03-01",0,0,0,1,0
"2022-04-01",0,0,0,1,0
"2022-05-01",0,0,0,1,0
"2022-06-01",0,0,0,1,0
"2022-07-01",0,0,0,2,0
"2022-08-01",0,0,0,2,0
"2022-09-01",0,0,0,3,0
"2022-10-01",2,1,1,6,0
"2022-11-01",4,5,3,14,1
"2022-12-01",8,9,8,21,2
"2023-01-01",3,5,3,8,1
"2023-02-01",1,1,1,4,0
"2023-03-01",0,2,1,2,0
"2023-04-01",0,1,0,2,0
"2023-05-01",0,1,1,5,1
"2023-06-01",0,2,1,6,1
"2023-07-01",0,2,1,6,1
"2023-08-01",0,2,1,6,1
"2023-09-01",1,2,1,7,1
"2023-10-01",2,3,2,11,1
"2023-11-01",6,6,6,21,2
"2023-12-01",6,20,7,19,2
"2024-01-01",3,6,3,11,2
"2024-02-01",1,2,1,8,1
"2024-03-01",1,2,1,7,1
"2024-04-01",0,1,0,7,1
"2024-05-01",0,2,0,6,1
"2024-06-01",0,2,0,6,1
"2024-07-01",0,2,0,6,1
"2024-08-01",0,2,1,6,1
"2024-09-01",1,3,1,7,1
"2024-10-01",1,7,2,10,1
"2024-11-01",5,16,5,16,2
"2024-12-01",7,18,7,15,1
"2025-01-01",3,10,3,9,1
"2025-02-01",1,4,2,7,1
"2025-03-01",0,3,1,4,0
"2025-04-01",1,3,1,6,1
"2025-05-01",0,3,0,6,1
"2025-06-01",0,3,0,6,1
"2025-07-01",1,4,1,2,0
"2025-08-01",1,4,1,2,0
"2025-09-01",1,1,1,4,0
"2025-10-01",2,1,2,8,0
"2025-11-01",4,3,4,21,2
"2025-12-01",6,2,6,24,3
"2026-01-01",3,2,3,11,1
"2026-02-01",1,1,1,12,3
"2026-03-01",0,1,1,3,0
"2026-04-01",0,1,0,5,1
"2026-05-01",0,1,0,4,1
"2026-06-01",0,1,0,4,1
"2026-07-01",1,1,0,2,0
"2026-08-01",0,0,0,1,0
