"Time","로우 라이즈","Low-rise","로우라이즈","low rise","Low-rise pants","low rise  jeans"
"2011-08-01",0,0,0,0,0,0
"2011-09-01",0,14,0,0,0,0
"2011-10-01",0,0,0,0,0,0
"2011-11-01",0,0,0,0,0,0
"2011-12-01",0,0,0,0,0,0
"2012-01-01",0,0,0,0,0,0
"2012-02-01",0,0,0,0,0,0
"2012-03-01",0,0,0,0,0,0
"2012-04-01",0,0,0,0,0,0
"2012-05-01",0,0,0,0,0,0
"2012-06-01",0,0,0,0,0,0
"2012-07-01",0,10,0,0,0,0
"2012-08-01",0,0,0,0,0,0
"2012-09-01",0,0,0,0,0,0
"2012-10-01",0,0,0,0,0,0
"2012-11-01",0,0,0,0,0,0
"2012-12-01",0,0,0,0,0,0
"2013-01-01",0,0,0,0,0,0
"2013-02-01",0,0,0,0,0,0
"2013-03-01",0,0,0,0,0,0
"2013-04-01",0,0,0,0,0,0
"2013-05-01",0,0,0,0,0,0
"2013-06-01",0,0,0,0,0,0
"2013-07-01",0,0,0,0,0,0
"2013-08-01",0,0,0,0,0,0
"2013-09-01",0,0,0,0,0,0
"2013-10-01",0,0,0,0,0,0
"2013-11-01",0,0,0,0,0,0
"2013-12-01",0,0,0,0,0,0
"2014-01-01",0,0,0,0,0,0
"2014-02-01",0,0,0,0,0,0
"2014-03-01",0,0,0,0,0,0
"2014-04-01",0,0,0,0,0,0
"2014-05-01",0,0,0,0,0,0
"2014-06-01",0,0,0,0,0,0
"2014-07-01",0,0,0,0,0,0
"2014-08-01",0,0,0,0,0,0
"2014-09-01",0,0,0,0,0,0
"2014-10-01",0,0,0,0,0,0
"2014-11-01",0,0,0,0,0,0
"2014-12-01",0,0,0,0,0,0
"2015-01-01",0,0,0,13,0,0
"2015-02-01",0,0,0,0,0,0
"2015-03-01",0,0,0,0,0,0
"2015-04-01",0,0,0,0,0,0
"2015-05-01",0,0,0,0,0,0
"2015-06-01",0,0,0,0,0,0
"2015-07-01",0,6,0,0,0,0
"2015-08-01",0,0,0,0,0,0
"2015-09-01",0,0,0,0,0,0
"2015-10-01",0,0,0,0,0,0
"2015-11-01",0,0,0,0,0,0
"2015-12-01",0,0,0,0,0,0
"2016-01-01",0,0,0,0,0,0
"2016-02-01",0,0,0,0,0,0
"2016-03-01",0,0,0,0,0,0
"2016-04-01",0,0,0,0,0,0
"2016-05-01",0,0,0,0,0,0
"2016-06-01",50,11,50,10,5,0
"2016-07-01",12,7,12,6,0,0
"2016-08-01",17,0,17,0,0,0
"2016-09-01",12,0,12,0,7,0
"2016-10-01",0,9,0,6,0,0
"2016-11-01",7,0,7,0,0,0
"2016-12-01",67,0,67,11,13,0
"2017-01-01",5,0,5,0,0,0
"2017-02-01",7,0,7,0,0,0
"2017-03-01",8,0,8,0,0,0
"2017-04-01",10,0,10,0,0,0
"2017-05-01",0,0,0,0,0,0
"2017-06-01",5,0,5,0,0,0
"2017-07-01",5,0,5,0,0,0
"2017-08-01",8,0,8,8,0,0
"2017-09-01",6,0,6,0,0,0
"2017-10-01",0,8,0,0,0,0
"2017-11-01",0,0,0,0,0,0
"2017-12-01",0,0,0,0,0,0
"2018-01-01",6,0,6,0,0,0
"2018-02-01",5,0,5,0,0,0
"2018-03-01",5,0,5,0,0,0
"2018-04-01",7,0,7,0,0,0
"2018-05-01",6,0,6,6,8,0
"2018-06-01",6,0,6,5,6,0
"2018-07-01",0,0,0,0,0,0
"2018-08-01",0,0,0,0,0,0
"2018-09-01",6,0,6,0,0,0
"2018-10-01",7,0,7,0,6,0
"2018-11-01",0,0,0,0,0,0
"2018-12-01",0,0,0,0,0,0
"2019-01-01",0,0,0,0,0,0
"2019-02-01",0,0,0,0,5,0
"2019-03-01",0,0,0,0,0,0
"2019-04-01",0,0,0,0,0,0
"2019-05-01",0,0,0,0,0,0
"2019-06-01",0,0,0,0,0,0
"2019-07-01",0,0,0,0,5,0
"2019-08-01",7,0,7,0,0,0
"2019-09-01",5,0,5,5,0,0
"2019-10-01",0,0,0,0,0,0
"2019-11-01",0,0,0,0,0,0
"2019-12-01",4,0,4,0,0,0
"2020-01-01",4,0,4,4,0,0
"2020-02-01",4,0,4,0,4,0
"2020-03-01",6,3,6,4,0,0
"2020-04-01",6,0,6,4,3,0
"2020-05-01",4,0,4,0,0,0
"2020-06-01",4,0,4,3,0,0
"2020-07-01",4,3,4,0,0,0
"2020-08-01",9,0,9,3,0,0
"2020-09-01",6,3,6,4,3,0
"2020-10-01",4,0,4,0,0,0
"2020-11-01",5,0,5,0,0,0
"2020-12-01",4,0,4,0,0,0
"2021-01-01",5,0,5,4,0,0
"2021-02-01",4,0,4,0,4,0
"2021-03-01",6,4,6,3,3,0
"2021-04-01",6,7,6,3,3,0
"2021-05-01",7,8,7,0,4,0
"2021-06-01",6,4,6,6,3,0
"2021-07-01",5,5,5,4,3,0
"2021-08-01",4,7,4,0,0,0
"2021-09-01",8,5,8,4,4,0
"2021-10-01",10,0,10,4,0,0
"2021-11-01",6,0,6,0,0,0
"2021-12-01",6,0,6,0,0,0
"2022-01-01",13,0,13,0,0,0
"2022-02-01",23,5,23,0,0,0
"2022-03-01",50,4,50,6,0,0
"2022-04-01",46,6,46,4,3,0
"2022-05-01",31,6,31,5,4,0
"2022-06-01",26,4,26,0,0,0
"2022-07-01",24,4,24,5,0,0
"2022-08-01",26,5,26,0,0,4
"2022-09-01",24,7,24,0,0,0
"2022-10-01",19,7,19,3,0,0
"2022-11-01",17,7,17,3,0,4
"2022-12-01",42,8,42,4,3,0
"2023-01-01",73,31,73,8,5,0
"2023-02-01",30,7,30,8,4,0
"2023-03-01",24,7,24,4,0,0
"2023-04-01",23,7,23,4,4,0
"2023-05-01",19,8,19,4,3,0
"2023-06-01",14,12,14,9,6,4
"2023-07-01",18,11,18,9,6,3
"2023-08-01",18,10,18,8,5,3
"2023-09-01",15,10,15,7,5,3
"2023-10-01",15,8,15,8,7,0
"2023-11-01",17,9,17,7,5,0
"2023-12-01",18,10,18,9,5,4
"2024-01-01",12,11,12,9,9,4
"2024-02-01",29,8,29,8,6,3
"2024-03-01",20,8,20,7,6,0
"2024-04-01",15,12,15,9,5,0
"2024-05-01",21,13,21,9,3,4
"2024-06-01",17,14,17,10,5,5
"2024-07-01",15,13,15,7,4,4
"2024-08-01",17,12,17,8,0,3
"2024-09-01",16,8,16,5,2,0
"2024-10-01",18,11,18,8,2,2
"2024-11-01",15,5,15,4,3,0
"2024-12-01",17,5,17,3,0,0
"2025-01-01",16,8,16,4,4,0
"2025-02-01",16,9,16,6,0,0
"2025-03-01",15,12,15,7,3,0
"2025-04-01",15,13,15,8,3,3
"2025-05-01",16,16,16,10,4,6
"2025-06-01",15,13,15,10,7,4
"2025-07-01",16,7,16,5,3,0
"2025-08-01",23,7,23,4,0,0
"2025-09-01",19,4,19,0,0,0
"2025-10-01",16,7,16,4,0,0
"2025-11-01",12,15,12,20,4,6
"2025-12-01",16,17,16,26,0,5
"2026-01-01",18,14,18,27,0,4
"2026-02-01",21,100,21,68,0,27
"2026-03-01",24,18,24,47,0,5
"2026-04-01",25,24,25,50,0,12
"2026-05-01",20,17,20,48,0,7
"2026-06-01",18,16,18,37,0,6
"2026-07-01",23,9,23,18,0,4
"2026-08-01",21,9,21,7,0,2
