"Time","벨벳 트레이닝복","벨벳 트레이닝","벨벳 츄리닝","쥬시꾸뛰르","Juicy Couture"
"2010-10-01",0,22,0,15,21
"2010-11-01",0,0,0,16,20
"2010-12-01",0,0,0,0,22
"2011-01-01",0,0,0,14,31
"2011-02-01",0,0,0,0,34
"2011-03-01",0,0,0,0,30
"2011-04-01",0,0,0,0,15
"2011-05-01",0,0,0,16,13
"2011-06-01",0,0,0,13,23
"2011-07-01",0,0,0,0,26
"2011-08-01",0,0,0,0,26
"2011-09-01",0,0,0,0,12
"2011-10-01",0,0,0,10,14
"2011-11-01",0,0,0,0,20
"2011-12-01",0,0,0,0,23
"2012-01-01",0,0,0,9,16
"2012-02-01",0,0,0,11,16
"2012-03-01",0,0,0,13,11
"2012-04-01",0,0,0,8,15
"2012-05-01",0,0,0,8,15
"2012-06-01",0,0,0,7,23
"2012-07-01",0,0,0,8,16
"2012-08-01",0,0,0,8,14
"2012-09-01",0,0,0,0,14
"2012-10-01",0,0,0,0,18
"2012-11-01",0,0,0,0,17
"2012-12-01",0,0,0,0,22
"2013-01-01",0,0,0,6,13
"2013-02-01",0,0,0,6,14
"2013-03-01",0,0,0,7,11
"2013-04-01",0,0,0,6,14
"2013-05-01",0,0,0,6,12
"2013-06-01",0,0,0,6,18
"2013-07-01",0,0,0,5,14
"2013-08-01",0,0,0,8,10
"2013-09-01",0,0,0,0,11
"2013-10-01",0,0,0,4,10
"2013-11-01",0,0,0,0,17
"2013-12-01",0,0,0,0,17
"2014-01-01",0,0,0,9,14
"2014-02-01",0,0,0,5,8
"2014-03-01",0,0,0,0,11
"2014-04-01",0,0,0,0,12
"2014-05-01",0,0,0,5,12
"2014-06-01",0,0,0,5,16
"2014-07-01",0,0,0,0,12
"2014-08-01",0,0,0,0,8
"2014-09-01",0,0,0,0,8
"2014-10-01",0,0,0,0,12
"2014-11-01",0,0,0,0,9
"2014-12-01",0,0,0,0,10
"2015-01-01",0,0,0,0,5
"2015-02-01",0,0,0,0,8
"2015-03-01",0,0,0,0,9
"2015-04-01",0,0,0,6,8
"2015-05-01",0,0,0,0,7
"2015-06-01",0,0,0,0,6
"2015-07-01",0,0,0,0,4
"2015-08-01",0,0,0,0,0
"2015-09-01",0,0,0,0,5
"2015-10-01",0,0,0,0,6
"2015-11-01",0,0,0,0,5
"2015-12-01",0,0,0,0,6
"2016-01-01",0,0,0,0,4
"2016-02-01",0,0,0,4,0
"2016-03-01",0,0,0,4,4
"2016-04-01",0,0,0,0,0
"2016-05-01",0,0,0,0,6
"2016-06-01",0,0,0,0,5
"2016-07-01",0,0,0,0,0
"2016-08-01",0,0,0,0,0
"2016-09-01",0,0,0,0,0
"2016-10-01",0,0,0,0,4
"2016-11-01",0,0,0,0,4
"2016-12-01",0,0,0,0,0
"2017-01-01",0,0,0,0,5
"2017-02-01",0,0,0,0,0
"2017-03-01",0,0,0,0,7
"2017-04-01",0,0,0,0,0
"2017-05-01",0,0,0,0,0
"2017-06-01",0,0,0,0,0
"2017-07-01",0,0,0,0,0
"2017-08-01",0,0,0,0,4
"2017-09-01",0,0,0,0,0
"2017-10-01",0,0,0,0,3
"2017-11-01",0,0,0,0,3
"2017-12-01",0,0,0,0,4
"2018-01-01",0,0,0,0,0
"2018-02-01",0,0,0,0,4
"2018-03-01",0,0,0,0,0
"2018-04-01",0,0,0,0,0
"2018-05-01",0,0,0,0,0
"2018-06-01",0,0,0,0,3
"2018-07-01",0,0,0,0,0
"2018-08-01",0,0,0,0,3
"2018-09-01",0,0,0,0,0
"2018-10-01",0,0,0,0,3
"2018-11-01",0,0,0,0,0
"2018-12-01",0,0,0,0,0
"2019-01-01",0,3,0,0,0
"2019-02-01",0,0,0,0,0
"2019-03-01",0,0,0,0,3
"2019-04-01",0,0,0,0,0
"2019-05-01",0,0,0,0,0
"2019-06-01",0,0,0,0,0
"2019-07-01",0,0,0,0,0
"2019-08-01",0,0,0,0,0
"2019-09-01",0,0,0,0,0
"2019-10-01",0,0,0,0,0
"2019-11-01",0,3,0,0,0
"2019-12-01",0,2,0,0,3
"2020-01-01",0,3,0,0,4
"2020-02-01",0,3,0,0,0
"2020-03-01",0,0,0,2,0
"2020-04-01",0,0,0,0,2
"2020-05-01",0,0,0,0,2
"2020-06-01",0,0,0,0,2
"2020-07-01",0,0,0,0,0
"2020-08-01",0,0,0,0,2
"2020-09-01",0,0,0,0,2
"2020-10-01",0,0,0,0,3
"2020-11-01",0,0,0,0,3
"2020-12-01",0,0,0,2,2
"2021-01-01",0,0,0,2,2
"2021-02-01",0,0,0,0,0
"2021-03-01",0,0,0,0,3
"2021-04-01",0,0,0,2,4
"2021-05-01",0,0,0,0,0
"2021-06-01",0,0,0,0,2
"2021-07-01",0,0,0,0,2
"2021-08-01",0,2,0,3,2
"2021-09-01",0,0,0,0,0
"2021-10-01",0,0,0,2,0
"2021-11-01",0,3,0,2,2
"2021-12-01",0,0,0,0,0
"2022-01-01",0,0,0,0,4
"2022-02-01",0,0,0,0,4
"2022-03-01",0,0,0,0,0
"2022-04-01",0,0,0,0,0
"2022-05-01",0,0,0,3,0
"2022-06-01",0,0,0,0,0
"2022-07-01",0,0,0,0,2
"2022-08-01",0,0,0,0,0
"2022-09-01",0,0,0,0,0
"2022-10-01",0,0,0,0,0
"2022-11-01",0,0,0,0,0
"2022-12-01",0,0,0,0,3
"2023-01-01",0,0,0,0,3
"2023-02-01",0,0,0,2,2
"2023-03-01",0,0,0,0,3
"2023-04-01",0,0,0,0,0
"2023-05-01",0,0,0,0,4
"2023-06-01",0,0,0,0,5
"2023-07-01",0,0,0,0,3
"2023-08-01",0,0,0,0,2
"2023-09-01",0,0,0,0,3
"2023-10-01",0,0,0,0,4
"2023-11-01",0,0,0,0,4
"2023-12-01",0,0,0,0,4
"2024-01-01",0,1,0,0,3
"2024-02-01",0,0,0,0,5
"2024-03-01",0,0,0,0,3
"2024-04-01",0,0,0,0,4
"2024-05-01",0,0,0,0,2
"2024-06-01",0,0,0,0,3
"2024-07-01",0,0,0,0,4
"2024-08-01",0,0,0,2,2
"2024-09-01",0,0,0,0,3
"2024-10-01",0,0,0,0,3
"2024-11-01",0,0,0,0,3
"2024-12-01",0,2,0,0,0
"2025-01-01",0,0,0,0,2
"2025-02-01",0,0,0,0,3
"2025-03-01",0,0,0,0,2
"2025-04-01",0,0,0,0,4
"2025-05-01",0,0,0,0,5
"2025-06-01",0,0,0,0,5
"2025-07-01",0,0,0,0,0
"2025-08-01",0,0,0,0,0
"2025-09-01",0,0,0,0,0
"2025-10-01",0,0,0,0,0
"2025-11-01",0,0,0,0,5
"2025-12-01",0,0,0,0,4
"2026-01-01",0,0,0,0,4
"2026-02-01",0,0,0,2,25
"2026-03-01",0,0,0,0,2
"2026-04-01",0,0,0,0,4
"2026-05-01",0,0,0,2,2
"2026-06-01",0,0,0,0,2
"2026-07-01",0,0,0,0,0
"2026-08-01",0,0,0,1,1
